,result
0,288
1,228
2,15
3,36
4,24
5,134
6,62
7,104
8,71
9,137
10,16
11,114
12,269
13,250
14,34
15,44
16,92
17,91
18,42
19,75
20,73
21,320
22,100
23,198
24,29
25,380
26,26
27,8
28,81
29,145
30,262
31,212
32,31
33,65
34,28
35,107
36,96
37,12
38,154
39,110
40,43
41,210
42,76
43,105
44,144
45,153
46,111
47,235
48,128
49,257
50,212
51,171
52,125
53,32
54,47
55,40
56,85
57,141
58,56
59,78
60,201
61,48
62,47
63,259
64,61
65,187
66,251
67,277
68,70
69,69
70,138
71,19
72,22
73,8
74,110
75,289
76,74
77,4
78,100
79,288
80,133
81,185
82,273
83,73
84,10
85,12
86,59
87,61
88,205
89,20
90,75
91,147
92,85
93,97
94,21
95,8
96,80
97,124
98,59
99,128
100,89
101,322
102,112
103,229
104,5
105,4
106,166
107,235
108,50
109,332
110,279
111,51
112,217
113,5
114,208
115,306
116,164
117,40
118,64
119,94
120,6
121,325
122,45
123,73
124,14
125,190
126,221
127,41
128,54
129,42
130,43
131,128
132,99
133,6
134,107
135,121
136,40
137,170
138,144
139,61
140,64
141,56
142,26
143,21
144,32
145,118
146,145
147,16
148,209
149,217
150,149
151,219
152,93
153,229
154,231
155,111
156,110
157,130
158,38
159,19
160,40
161,195
162,103
163,57
164,175
165,70
166,49
167,346
168,214
169,116
170,206
171,59
172,234
173,64
174,197
175,346
176,32
177,8
178,150
179,95
180,102
181,133
182,238
183,72
184,178
185,86
186,197
187,48
188,131
189,15
190,222
191,157
192,22
193,94
194,53
195,17
196,59
197,197
198,5
199,1
200,161
201,15
202,77
203,72
204,129
205,20
206,125
207,2
208,99
209,129
210,51
211,53
212,237
213,63
214,106
215,254
216,91
217,79
218,261
219,80
220,22
221,46
222,188
223,48
224,133
225,4
226,104
227,226
228,419
229,29
230,371
231,85
232,123
233,38
234,182
235,204
236,72
237,77
238,227
239,62
240,136
241,25
242,133
243,61
244,44
245,80
246,51
247,270
248,127
249,7
250,102
251,10
252,64
253,8
254,69
255,173
256,36
257,186
258,31
259,68
260,241
261,45
262,32
263,83
264,264
265,104
266,87
267,183
268,66
269,132
270,66
271,23
272,64
273,202
274,90
275,135
276,160
277,28
278,244
279,221
280,48
281,134
282,33
283,82
284,178
285,93
286,55
287,106
288,132
289,41
290,31
291,50
292,108
293,33
294,189
295,163
296,73
297,43
298,254
299,208
300,15
301,64
302,87
303,211
304,55
305,81
306,57
307,12
308,65
309,32
310,128
311,94
312,147
313,19
314,168
315,80
316,92
317,31
318,68
319,58
320,154
321,85
322,49
323,80
324,162
325,377
326,127
327,115
328,83
329,342
330,82
331,296
332,281
333,68
334,84
335,134
336,51
337,187
338,340
339,137
340,100
341,35
342,17
343,272
344,79
345,116
346,141
347,82
348,87
349,49
350,112
351,247
352,89
353,228
354,109
355,367
356,279
357,31
358,125
359,154
360,112
361,83
362,62
363,171
364,121
365,74
366,209
367,121
368,8
369,139
370,272
371,285
372,204
373,80
374,192
375,62
376,50
377,33
378,82
379,152
380,150
381,30
382,288
383,42
384,210
385,238
386,34
387,296
388,14
389,19
390,35
391,30
392,317
393,62
394,86
395,49
396,199
397,53
398,217
399,269
400,119
401,123
402,84
403,40
404,86
405,95
406,94
407,122
408,173
409,28
410,14
411,78
412,153
413,56
414,21
415,200
416,41
417,33
418,113
419,50
420,87
421,72
422,44
423,104
424,209
425,115
426,51
427,119
428,54
429,36
430,224
431,28
432,81
433,38
434,59
435,77
436,64
437,41
438,184
439,229
440,83
441,48
442,211
443,282
444,271
445,70
446,46
447,91
448,130
449,49
450,122
451,28
452,99
453,131
454,179
455,20
456,21
457,73
458,68
459,142
460,157
461,20
462,163
463,121
464,73
465,18
466,81
467,30
468,213
469,291
470,45
471,37
472,152
473,107
474,68
475,383
476,35
477,11
478,101
479,114
480,79
481,109
482,285
483,76
484,80
485,37
486,54
487,70
488,84
489,50
490,61
491,104
492,62
493,41
494,99
495,251
496,53
497,225
498,40
499,88
500,45
501,230
502,48
503,81
504,174
505,18
506,256
507,81
508,15
509,67
510,3
511,220
512,174
513,92
514,380
515,379
516,274
517,58
518,60
519,201
520,12
521,100
522,170
523,20
524,81
525,40
526,193
527,198
528,79
529,55
530,166
531,130
532,89
533,24
534,48
535,30
536,132
537,184
538,116
539,46
540,133
541,70
542,49
543,151
544,200
545,101
546,60
547,14
548,67
549,48
550,111
551,20
552,270
553,150
554,192
555,31
556,254
557,203
558,377
559,75
560,249
561,115
562,166
563,124
564,260
565,215
566,303
567,56
568,85
569,28
570,61
571,195
572,79
573,47
574,222
575,32
576,46
577,347
578,34
579,295
580,48
581,56
582,60
583,90
584,192
585,87
586,29
587,164
588,30
589,48
590,223
591,76
592,1
593,78
594,241
595,34
596,113
597,128
598,318
599,106
600,154
601,196
602,59
603,44
604,193
605,39
606,89
607,47
608,141
609,133
610,77
611,131
612,150
613,153
614,107
615,70
616,2
617,14
618,54
619,46
620,249
621,131
622,39
623,120
624,90
625,116
626,116
627,83
628,111
629,60
630,117
631,8
632,144
633,195
634,35
635,59
636,60
637,49
638,52
639,311
640,157
641,67
642,32
643,69
644,6
645,4
646,251
647,45
648,157
649,292
650,257
651,39
652,97
653,13
654,182
655,82
656,226
657,81
658,132
659,97
660,108
661,63
662,339
663,20
664,1
665,67
666,94
667,244
668,2
669,106
670,59
671,106
672,151
673,147
674,38
675,256
676,46
677,79
678,87
679,97
680,15
681,86
682,125
683,29
684,95
685,45
686,73
687,57
688,47
689,45
690,42
691,291
692,19
693,73
694,27
695,165
696,52
697,54
698,149
699,90
700,214
701,2
702,212
703,164
704,102
705,111
706,136
707,73
708,73
709,23
710,59
711,266
712,87
713,146
714,134
715,52
716,158
717,68
718,227
719,64
720,116
721,244
722,12
723,127
724,106
725,96
726,245
727,214
728,243
729,118
730,161
731,7
732,233
733,192
734,90
735,81
736,38
737,70
738,214
739,98
740,268
741,370
742,75
743,118
744,79
745,195
746,51
747,16
748,34
749,133
750,118
751,23
752,298
753,41
754,78
755,108
756,14
757,37
758,73
759,111
760,326
761,25
762,68
763,75
764,103
765,110
766,81
767,287
768,76
769,151
770,112
771,180
772,346
773,104
774,34
775,108
776,81
777,94
778,164
779,203
780,24
781,10
782,51
783,205
784,206
785,27
786,72
787,134
788,66
789,50
790,97
791,335
792,91
793,247
794,9
795,45
796,88
797,320
798,3
799,58
800,42
801,102
802,80
803,75
804,354
805,187
806,329
807,237
808,44
809,113
810,131
811,163
812,36
813,57
814,137
815,147
816,66
817,86
818,13
819,133
820,139
821,34
822,24
823,41
824,403
825,233
826,77
827,98
828,76
829,182
830,98
831,97
832,32
833,11
834,102
835,12
836,14
837,16
838,83
839,76
840,15
841,44
842,46
843,51
844,390
845,168
846,81
847,66
848,52
849,66
850,46
851,223
852,175
853,146
854,27
855,99
856,192
857,219
858,18
859,25
860,57
861,29
862,26
863,30
864,41
865,231
866,82
867,59
868,207
869,191
870,17
871,125
872,169
873,131
874,61
875,12
876,34
877,40
878,168
879,196
880,122
881,25
882,111
883,194
884,37
885,154
886,165
887,47
888,54
889,53
890,7
891,145
892,35
893,75
894,88
895,76
896,38
897,50
898,224
899,110
900,143
901,459
902,48
903,7
904,33
905,58
906,277
907,168
908,15
909,5
910,142
911,144
912,25
913,108
914,92
915,143
916,10
917,98
918,19
919,35
920,44
921,71
922,294
923,248
924,78
925,3
926,9
927,14
928,74
929,123
930,226
931,43
932,199
933,74
934,71
935,34
936,147
937,261
938,29
939,46
940,28
941,226
942,54
943,118
944,29
945,99
946,231
947,70
948,25
949,202
950,8
951,63
952,23
953,125
954,179
955,97
956,101
957,3
958,85
959,260
960,221
961,20
962,138
963,15
964,134
965,214
966,228
967,119
968,77
969,36
970,211
971,84
972,142
973,75
974,79
975,364
976,279
977,64
978,64
979,156
980,105
981,97
982,82
983,219
984,111
985,140
986,41
987,62
988,2
989,121
990,314
991,112
992,437
993,40
994,69
995,159
996,118
997,22
998,269
999,68
1000,41
1001,30
1002,100
1003,48
1004,186
1005,22
1006,124
1007,246
1008,161
1009,39
1010,224
1011,22
1012,100
1013,221
1014,51
1015,119
1016,22
1017,354
1018,97
1019,105
1020,68
1021,206
1022,55
1023,78
1024,137
1025,24
1026,16
1027,64
1028,40
1029,53
1030,255
1031,20
1032,44
1033,185
1034,39
1035,104
1036,84
1037,43
1038,50
1039,177
1040,28
1041,73
1042,149
1043,76
1044,147
1045,75
1046,109
1047,153
1048,222
1049,150
1050,135
1051,51
1052,43
1053,145
1054,124
1055,103
1056,93
1057,37
1058,117
1059,70
1060,122
1061,38
1062,193
1063,252
1064,81
1065,75
1066,57
1067,168
1068,288
1069,172
1070,60
1071,78
1072,231
1073,86
1074,130
1075,221
1076,16
1077,93
1078,69
1079,172
1080,228
1081,138
1082,70
1083,98
1084,104
1085,25
1086,151
1087,149
1088,54
1089,95
1090,212
1091,114
1092,24
1093,14
1094,303
1095,87
1096,93
1097,181
1098,21
1099,96
1100,51
1101,330
1102,56
1103,3
1104,68
1105,130
1106,136
1107,185
1108,196
1109,52
1110,39
1111,136
1112,93
1113,24
1114,145
1115,161
1116,118
1117,43
1118,193
1119,19
1120,23
1121,21
1122,230
1123,34
1124,132
1125,151
1126,30
1127,56
1128,93
1129,106
1130,14
1131,88
1132,329
1133,98
1134,25
1135,11
1136,429
1137,27
1138,190
1139,73
1140,87
1141,300
1142,196
1143,24
1144,154
1145,29
1146,80
1147,133
1148,18
1149,90
1150,112
1151,68
1152,10
1153,290
1154,113
1155,30
1156,74
1157,66
1158,43
1159,65
1160,79
1161,23
1162,133
