,Mon,Tue,Wed,Thu,Fri,omega1
0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,1.0,1.0,1.0,1.0,0.001
2,1.0,1.0,1.0,1.0,1.0,0.002
3,1.0,1.0,1.0,1.0,1.0,0.003
4,1.0,1.0,1.0,1.0,1.0,0.004
5,1.0,1.0,1.0,1.0,1.0,0.005
6,1.0,1.0,1.0,1.0,1.0,0.006
7,1.0,1.0,1.0,1.0,1.0,0.007
8,1.0,1.0,1.0,1.0,1.0,0.008
9,1.0,1.0,1.0,1.0,1.0,0.009
10,1.0,1.0,1.0,1.0,1.0,0.01
11,1.0,1.0,1.0,1.0,1.0,0.011
12,1.0,1.0,1.0,1.0,1.0,0.012
13,1.0,1.0,1.0,1.0,1.0,0.013
14,1.0,1.0,1.0,1.0,1.0,0.014
15,1.0,1.0,1.0,1.0,1.0,0.015
16,1.0,1.0,1.0,1.0,1.0,0.016
17,1.0,1.0,1.0,1.0,1.0,0.017
18,1.0,1.0,1.0,1.0,1.0,0.018
19,1.0,1.0,1.0,1.0,1.0,0.019
20,1.0,1.0,1.0,1.0,1.0,0.02
21,1.0,1.0,1.0,1.0,1.0,0.021
22,1.0,1.0,1.0,1.0,1.0,0.022
23,1.0,1.0,1.0,1.0,1.0,0.023
24,1.0,1.0,1.0,1.0,1.0,0.024
25,1.0,1.0,1.0,1.0,1.0,0.025
26,1.0,1.0,1.0,1.0,1.0,0.026
27,1.0,1.0,1.0,1.0,1.0,0.027
28,1.0,1.0,1.0,1.0,1.0,0.028
29,1.0,1.0,1.0,1.0,1.0,0.029
30,1.0,1.0,1.0,1.0,1.0,0.03
31,1.0,1.0,1.0,1.0,1.0,0.031
32,1.0,1.0,1.0,1.0,1.0,0.032
33,1.0,1.0,1.0,1.0,1.0,0.033
34,1.0,1.0,1.0,1.0,1.0,0.034
35,1.0,1.0,1.0,1.0,1.0,0.035
36,1.0,1.0,1.0,1.0,1.0,0.036
37,1.0,1.0,1.0,1.0,1.0,0.037
38,1.0,1.0,1.0,1.0,1.0,0.038
39,1.0,1.0,1.0,1.0,1.0,0.039
40,1.0,1.0,1.0,1.0,1.0,0.04
41,1.0,1.0,1.0,1.0,1.0,0.041
42,1.0,1.0,1.0,1.0,1.0,0.042
43,1.0,1.0,1.0,1.0,1.0,0.043
44,1.0,1.0,1.0,1.0,1.0,0.044
45,1.0,1.0,1.0,1.0,1.0,0.045
46,1.0,1.0,1.0,1.0,1.0,0.046
47,1.0,1.0,1.0,1.0,1.0,0.047
48,1.0,1.0,1.0,1.0,1.0,0.048
49,1.0,1.0,1.0,1.0,1.0,0.049
50,1.0,1.0,1.0,1.0,1.0,0.05
51,1.0,1.0,1.0,1.0,1.0,0.051
52,1.0,1.0,1.0,1.0,1.0,0.052
